event_id,ot_str,lat,lon,dep_km,h_err_km,z_err_km,rms,nphs,gap
20220905091938630_00000203.sum,2022-09-05T09:19:38.233,29.516273,102.135354,11.988,1.669,5.497,0.354,21,102.6
20220905092004208_00000204.sum,2022-09-05T09:20:04.116,29.439397,102.154624,19.531,1.713,7.038,0.324,14,130.3
20220905092106933_00000205.sum,2022-09-05T09:21:06.328,29.629236,102.033309,10.320,1.580,5.774,0.241,19,99.5
20220905092410238_00000206.sum,2022-09-05T09:24:09.875,29.614305,102.035970,14.091,1.538,6.619,0.326,26,85.2
20220905092522284_00000207.sum,2022-09-05T09:25:21.998,29.687193,102.087553,11.094,1.428,4.709,0.313,23,69.9
20220905092551444_00000208.sum,2022-09-05T09:25:50.908,29.823467,102.013655,12.063,3.331,8.873,0.183,9,149.5
20220905092722913_00000209.sum,2022-09-05T09:27:22.817,29.520373,102.122620,14.030,1.690,6.953,0.354,18,124.7
20220905092901605_00000210.sum,2022-09-05T09:29:01.112,29.681585,102.091204,11.684,1.617,5.166,0.228,20,74.3
20220905092942743_00000211.sum,2022-09-05T09:29:41.817,29.662052,102.036260,8.968,4.648,11.743,0.332,9,98.6
20220905093131291_00000212.sum,2022-09-05T09:31:30.673,29.534662,101.904789,15.409,2.528,7.898,0.238,13,162.2
20220905093321274_00000213.sum,2022-09-05T09:33:21.332,29.739174,102.024011,12.927,1.948,8.260,0.310,14,71.2
20220905093412743_00000214.sum,2022-09-05T09:34:12.498,29.783407,101.991294,13.278,2.084,7.820,0.328,14,93.3
20220905093522853_00000215.sum,2022-09-05T09:35:22.384,29.798592,102.006853,11.283,1.615,5.494,0.286,18,95.7
20220905093557814_00000216.sum,2022-09-05T09:35:55.834,29.594353,101.900172,24.396,22.918,35.698,0.092,8,243.2
20220905093730537_00000217.sum,2022-09-05T09:37:30.184,29.426138,102.177072,13.701,2.830,7.784,0.244,13,138.5
20220905093813953_00000218.sum,2022-09-05T09:38:13.578,29.785377,102.021269,11.402,1.401,4.977,0.261,20,65.6
20220905093920951_00000219.sum,2022-09-05T09:39:20.353,29.392826,102.189880,18.322,1.476,5.063,0.320,27,103.9
20220905094316699_00000220.sum,2022-09-05T09:43:16.190,29.597298,102.001093,12.976,2.109,5.425,0.280,17,139.9
20220905094352498_00000221.sum,2022-09-05T09:43:52.061,29.424180,102.161567,9.470,2.901,10.831,0.246,10,128.5
20220905094408320_00000222.sum,2022-09-05T09:44:07.772,29.680195,102.108818,8.480,8.617,10.676,0.189,7,183.5
20220905094419886_00000223.sum,2022-09-05T09:44:19.468,29.696967,102.101380,13.311,1.995,3.026,0.283,18,127.9
20220905094542131_00000224.sum,2022-09-05T09:45:41.732,29.609622,102.037063,14.427,1.415,4.885,0.279,26,86.5
20220905094706040_00000225.sum,2022-09-05T09:47:05.538,29.839857,102.015644,10.310,4.469,9.134,0.254,12,142.6
20220905094726072_00000226.sum,2022-09-05T09:47:25.640,29.749223,102.035396,9.911,1.525,3.457,0.216,17,91.0
