106.4,21,70,7.359,4.21
106.6,21,0,6.445,3.789
106.6,21,2.5,6.046,3.554
106.6,21,5,5.645,3.318
106.6,21,7.5,5.414,3.206
106.6,21,10,5.185,3.094
106.6,21,15,6.083,3.566
106.6,21,20,6.189,3.619
106.6,21,25,6.168,3.609
106.6,21,30,6.702,3.883
106.6,21,35,8.496,4.819
106.6,21,40,7.993,4.55
106.6,21,50,7.091,4.248
106.6,21,60,7.69,4.382
106.6,21,70,7.355,4.208
106.8,21,0,6.474,3.795
106.8,21,2.5,6.053,3.552
106.8,21,5,5.632,3.309
106.8,21,7.5,5.398,3.196
106.8,21,10,5.163,3.082
106.8,21,15,6.088,3.569
106.8,21,20,6.188,3.619
106.8,21,25,6.161,3.605
106.8,21,30,6.7,3.884
106.8,21,35,8.499,4.838
106.8,21,40,7.997,4.552
106.8,21,50,7.052,4.238
106.8,21,60,7.686,4.382
106.8,21,70,7.351,4.205
107,21,0,6.503,3.801
107,21,2.5,6.063,3.549
107,21,5,5.621,3.298
107,21,7.5,5.381,3.186
107,21,10,5.143,3.072
107,21,15,6.09,3.57
107,21,20,6.188,3.619
107,21,25,6.154,3.603
107,21,30,6.698,3.883
107,21,35,8.499,4.851
107,21,40,8.002,4.552
107,21,50,7.014,4.228
107,21,60,7.681,4.379
107,21,70,7.347,4.203
107.2,21,0,6.532,3.829
107.2,21,2.5,6.091,3.576
107.2,21,5,5.631,3.314
107.2,21,7.5,5.379,3.188
107.2,21,10,5.138,3.07
107.2,21,15,6.072,3.56
107.2,21,20,6.185,3.617
107.2,21,25,6.149,3.6
107.2,21,30,6.683,3.875
107.2,21,35,8.458,4.842
107.2,21,40,8.017,4.561
107.2,21,50,6.994,4.223
107.2,21,60,7.669,4.375
107.2,21,70,7.348,4.203
107.4,21,0,6.556,3.852
107.4,21,2.5,6.078,3.58
107.4,21,5,5.6,3.306
107.4,21,7.5,5.355,3.18
107.4,21,10,5.11,3.054
107.4,21,15,6.097,3.574
107.4,21,20,6.186,3.618
107.4,21,25,6.141,3.595
107.4,21,30,6.694,3.881
107.4,21,35,8.5,4.877
107.4,21,40,8.009,4.556
107.4,21,50,6.951,4.213
107.4,21,60,7.673,4.375
107.4,21,70,7.341,4.2
107.6,21,0,6.574,3.869
107.6,21,2.5,6.081,3.585
107.6,21,5,5.59,3.304
107.6,21,7.5,5.342,3.176
107.6,21,10,5.099,3.05
107.6,21,15,6.099,3.575
